Event,Date,Status,Tickets Sold,Tickets Available
8PM Sundays  The Made Up Show | Improv standup comedy; TO most unique show,Repeating Event,Live,0,55
8PM Saturdays - Pro &amp; Hilarious Stand up Comedy | A true comedy experience,Repeating Event,Live,0,55
8PM Wednesdays - Pro Hilarious Stand-up | Humpday Comedy Delight,Repeating Event,Live,0,55
8PM Thursday - Pro Hilarious Stand-up Comedy Vibes  | The Laughter Fix,Repeating Event,Live,0,55
10PM Industry Nights @  Hilarious comedy show for  Industry Folk in Toronto,Repeating Event,Live,0,55
8PM Friday Pro &amp; Hilarious Stand-up | Comedy Kickoff  &amp; Laughs guaranteed,Repeating Event,Live,0,55
10PM Friday | Pro Hilarious Late-Night Comedy Laugh | Guaranteed Hilarity,Repeating Event,Live,0,55
10PM Saturdays  Pro Hilarious Stand-up Comedy | Unleash the laughter,Repeating Event,Live,0,55
10 PM Wednesdays - Pro Hilarious Stand-up Comedy | Late-Night laughs,Repeating Event,Live,0,55
10PM Thursday - Hilarious Stand-up Comedy Vibes |Hilarious &amp; unexpected.,Repeating Event,Live,0,55
Feedback | An Open Mic Comedy Show @ Backroom Comedy Club,Repeating Event,Live,0,50
Comedy Enthusiast | Stand Up Comedy Watch Party,Repeating Event,Live,0,55
20-20 Perspective Comedy Show,Repeating Event,Live,0,55
Stef Dag @ Backroom Comedy | Limited Run,Repeating Event,Live,0,55
Robyn &amp; Jason The Gillerans live @ Backroom Comedy Club | One Night Only,"Friday, 6 June 2025 8:00 PM",Live,0,55
Alvin Kuai @ Backroom Comedy Club | Limited Run!,Repeating Event,Live,0,55
Dom Pare @ Backroom Comedy Club | One Night Only,Repeating Event,Draft,0,0
Mike Rita @ Backroom Comedy Club,"Saturday, 17 August 2024 8:00 PM",Draft,0,55
Torio Van Grol @ Backroom Comedy Club,Repeating Event,Draft,0,0
sadgsadgasdg,"Saturday, 5 October 2024 10:00 AM",Draft,0,0
The Dry Show,"Thursday, 14 November 2024 8:00 PM",Draft,0,55
The Dry Show OG,"Thursday, 14 November 2024 8:00 PM",Draft,0,55
New Year's Eve Comedy Bash @ Backroom Comedy Club,Repeating Event,Draft,0,0
Ali Sultan @ Backroom Comedy Club,Repeating Event,Draft,0,55
Promo Night - Secret Show,"Tuesday, 23 November 2021 8:00 PM",Past,40,0
